# E [eV], EF_E [erg/cm2s], sigma_EF_E [erg/cm2s]
5.464087866788325254e-02,1.358269901016946084e-13,4.794692750589819421e-14
5.465528248420215007e-02,6.604433065131776054e-14,2.331364871991516898e-14
5.466969389646877953e-02,9.479882482088197564e-14,3.346398516177133249e-14
5.468411291069342345e-02,1.040936473452388357e-13,3.674505751286930446e-14
5.469853953289265797e-02,2.510387438840332894e-13,8.861667659106374969e-14
5.471297376908941523e-02,1.067479273394840443e-13,3.768201835083786613e-14
5.472741562531300424e-02,2.759134165148405389e-13,9.739743602973870676e-14
5.474186510759906227e-02,7.422470125460123859e-14,2.620131954287423721e-14
5.475632222198965199e-02,7.051115348180843021e-14,2.489043717907837571e-14
5.477078697453322681e-02,3.556181246598643887e-14,1.255331980049321267e-14
5.478525937128453371e-02,5.182730782263672068e-14,1.829503966139076024e-14
5.479973941830485612e-02,5.319379013320049950e-14,1.877740791701977456e-14
5.481422712166177102e-02,7.037592490573107825e-14,2.484270149172307031e-14
5.482872248742938492e-02,1.716177623769112189e-13,6.058107011904965187e-14
5.484322552168812565e-02,5.507981826076482435e-14,1.944317584604998224e-14
5.485773623052491582e-02,8.856502288710197734e-14,3.126345307914699588e-14
5.487225462003311044e-02,8.160273084991420947e-14,2.880576399001971499e-14
5.488678069631250378e-02,7.434255284805817286e-14,2.624292115536453484e-14
5.490131446546937105e-02,6.796987707246177427e-14,2.399336660657900552e-14
5.491585593361645451e-02,5.424250882729855741e-14,1.914760561603638844e-14
5.493040510687295652e-02,5.549985592276681690e-14,1.959144914073668508e-14
5.494496199136458120e-02,7.460036399212222325e-14,2.633392848921914230e-14
5.495952659322352052e-02,4.973281073502021959e-14,1.755568218946213504e-14
5.497409891858847514e-02,3.183452469387718152e-14,1.123758721693864397e-14
5.498867897360466134e-02,5.849615809098764663e-14,2.064914380611863732e-14
5.500326676442379020e-02,1.432489033202413508e-13,5.056686287204519223e-14
5.501786229720415783e-02,1.673410600900033890e-14,5.907139421177119393e-15
5.503246557811051348e-02,4.300584008282011688e-14,1.518106154923550023e-14
5.504707661331426083e-02,3.420399049887702788e-14,1.207400864610359056e-14
5.506169540899326365e-02,2.754535152408859421e-14,9.723509088003272621e-15
5.507632197133201929e-02,6.421739572724348350e-14,2.266874069171694699e-14
5.509095630652152686e-02,7.388732772477319808e-14,2.608222668684493741e-14
5.510559842075943987e-02,4.598903769000503250e-14,1.623413030457177566e-14
5.512024832024994825e-02,5.766493740792852372e-14,2.035572290499876665e-14
5.513490601120390328e-02,6.414141784597668994e-14,2.264192049962977183e-14
5.514957149983867879e-02,5.170029279878577355e-14,1.825020335797137714e-14
5.516424479237833078e-02,4.039988402465486203e-14,1.426115906070316553e-14
5.517892589505352108e-02,4.025934594745009514e-14,1.421154911944988205e-14
5.519361481410154507e-02,2.892122281295806796e-14,1.020919165297419675e-14
5.520831155576635257e-02,2.467151964558787558e-14,8.709046434892519709e-15
5.522301612629852696e-02,4.940036862431639084e-14,1.743833012438368455e-14
5.523772853195531990e-02,2.939417231053433308e-14,1.037614282561861852e-14
5.525244877900065826e-02,4.757816057387880926e-14,1.679509068257921742e-14
5.526717687370515109e-02,6.067893827006070145e-14,2.141966520933142510e-14
5.528191282234608261e-02,7.966569653844281205e-14,2.812199087807030964e-14
5.529665663120742619e-02,7.890049961891999751e-14,2.785187636547875805e-14
5.531140830657989976e-02,8.432912509907164502e-14,2.976818115997229034e-14
5.532616785476091037e-02,8.204092481839803557e-14,2.896044646089450724e-14
5.534093528205454721e-02,2.954264760752105164e-13,1.042855460545493121e-13
5.535571059477171346e-02,7.951643787712329799e-14,2.806930257062452372e-14
5.537049379923000142e-02,3.450705981367093613e-14,1.218099211422583909e-14
5.538528490175377572e-02,4.872883697940349707e-14,1.720127945372943482e-14
5.540008390867413174e-02,6.453603287524986131e-14,2.278121960496320034e-14
5.541489082632895802e-02,6.504508134791997733e-14,2.296091371581574955e-14
5.542970566106293628e-02,1.015328325555982117e-13,3.584108989212616908e-14
5.544452841922749287e-02,3.765736962298543863e-14,1.329305147691385845e-14
5.545935910718086809e-02,5.676706368127910248e-14,2.003877347949152134e-14
5.547419773128812320e-02,8.397274355913280757e-14,2.964237847637387913e-14
5.548904429792109183e-02,1.199872582135152919e-13,4.235550214937089849e-14
5.550389881345851179e-02,4.373805791491918137e-14,1.543953444396646860e-14
5.551876128428585161e-02,4.935898038957908232e-14,1.742372007752141386e-14
5.553363171679548405e-02,1.017988546609061111e-13,3.593499569529985742e-14
5.554851011738663052e-02,6.560282931403194029e-14,2.315779874785327239e-14
5.556339649246534035e-02,8.116131616110201454e-14,2.864994460486900751e-14
5.557829084844454620e-02,1.059437379707103109e-13,3.739813950366073822e-14
5.559319319174409885e-02,4.881426143104154278e-14,1.723143428515766416e-14
5.560810352879066304e-02,6.530273108496195148e-14,2.305186407299156633e-14
5.562302186601785631e-02,9.080793600754123188e-14,3.205520141066205196e-14
5.563794820986620038e-02,3.772164038747931693e-14,1.331573905678019862e-14
5.565288256678305873e-02,5.946943807212094385e-14,2.099271163945869152e-14
5.566782494322282393e-02,6.800403044527191391e-14,2.400542274718098562e-14
5.568277534564676501e-02,6.467714005119399860e-14,2.283103043807148089e-14
5.569773378052310375e-02,5.543355329929086872e-14,1.956804431464967473e-14
5.571270025432700779e-02,4.826776368935456283e-14,1.703852058234216009e-14
5.572767477354059751e-02,3.399789425862413582e-14,1.200125667329431972e-14
5.574265734465300159e-02,1.710627291977272016e-15,6.038514340679769911e-16
5.575764797416031537e-02,3.845059329053962670e-14,1.357305943156048738e-14
5.577264666856558695e-02,4.479879298805709893e-14,1.581397392478415598e-14
5.578765343437889351e-02,4.257456808157317151e-14,1.502882253279532769e-14
5.580266827811731362e-02,4.201132450365912228e-14,1.482999754979166857e-14
5.581769120630498959e-02,4.398709519916313501e-14,1.552744460530458520e-14
5.583272222547300961e-02,5.241917803327717777e-14,1.850396984574684384e-14
5.584776134215955340e-02,5.088934817982971847e-14,1.796393990747988819e-14
5.586280856290982977e-02,5.122316341271855831e-14,1.808177668468965102e-14
5.587786389427610440e-02,6.063124043161717297e-14,2.140282787236086143e-14
5.589292734281772063e-02,6.784621004263209759e-14,2.394971214504912910e-14
5.590799891510108560e-02,4.715174340365890871e-14,1.664456542149159460e-14
5.592307861769967720e-02,4.222924263209576931e-14,1.490692264912980435e-14
5.593816645719410646e-02,5.906398735670247741e-14,2.084958753691597284e-14
5.595326244017203438e-02,9.541792213879331792e-14,3.368252651499404105e-14
5.596836657322828978e-02,7.374096005573691112e-14,2.603055889967512903e-14
5.598347886296478615e-02,1.969744769440934032e-13,6.953199036126496328e-14
5.599859931599058399e-02,1.663171781675204650e-13,5.870996389313472031e-14
5.601372793892189089e-02,5.135431708903216939e-14,1.812807393242835568e-14
5.602886473838204762e-02,1.991708935938396291e-13,7.030732543862538242e-14
5.604400972100156975e-02,6.698604572590835272e-14,2.364607414124564817e-14
