# E [eV], EF_E [erg/cm2s], sigma_EF_E [erg/cm2s]
5.292528762717034485e-02,3.074722286862857021e-12,1.085376967262588534e-12
5.293880104125315428e-02,3.242375003888830217e-12,1.144558376372756909e-12
5.295232135785862826e-02,3.172287152458030579e-12,1.119817364817684811e-12
5.296584858227674358e-02,3.166569306163201884e-12,1.117798965075610156e-12
5.297938271980283387e-02,3.198995555048586460e-12,1.129245430932151051e-12
5.299292377573770751e-02,3.242870187321090690e-12,1.144733176124344970e-12
5.300647175538755751e-02,3.207602591866876349e-12,1.132283714929007205e-12
5.302002666406404469e-02,3.271710736878824541e-12,1.154913890118224948e-12
5.303358850708420752e-02,3.332813849405354493e-12,1.176483288840090078e-12
5.304715728977058009e-02,3.371294681164699365e-12,1.190067022451138763e-12
5.306073301745110188e-02,3.310004347575190230e-12,1.168431534694042187e-12
5.307431569545919409e-02,3.236821545542758697e-12,1.142598005576593857e-12
5.308790532913373883e-02,3.300254419317032032e-12,1.164989810018912304e-12
5.310150192381906525e-02,3.208166465182766475e-12,1.132482762209516440e-12
5.311510548486501893e-02,3.193140803957751382e-12,1.127178703797086275e-12
5.312871601762688550e-02,3.297071222086812565e-12,1.163866141396644867e-12
5.314233352746548789e-02,3.219174160870981969e-12,1.136368478787456523e-12
5.315595801974708212e-02,3.372602930337530789e-12,1.190528834409148272e-12
5.316958949984349619e-02,3.353102765646024646e-12,1.183645276273046724e-12
5.318322797313202593e-02,3.316645707164212447e-12,1.170775934628967027e-12
5.319687344499551829e-02,3.223088207853749451e-12,1.137750137372373415e-12
5.321052592082230193e-02,3.475296582831429371e-12,1.226779693739494416e-12
5.322418540600626358e-02,3.415440394623967471e-12,1.205650459302260390e-12
5.323785190594686884e-02,3.466780999255322644e-12,1.223773692737128908e-12
5.325152542604907197e-02,3.455323068053818278e-12,1.219729043022997853e-12
5.326520597172339222e-02,3.377711769626084601e-12,1.192332254678007788e-12
5.327889354838592079e-02,3.333222693241690191e-12,1.176627610714316624e-12
5.329258816145831384e-02,3.191121690995462111e-12,1.126465956921398061e-12
5.330628981636784114e-02,3.309750400237467819e-12,1.168341891283826163e-12
5.331999851854726802e-02,3.317036023452778756e-12,1.170913716278830870e-12
5.333371427343503585e-02,3.320393993461598142e-12,1.172099079691944023e-12
5.334743708647514404e-02,3.326497858698666848e-12,1.174253744120629330e-12
5.336116696311719865e-02,3.217999066340351273e-12,1.135953670418143919e-12
5.337490390881641233e-02,3.292243810938193232e-12,1.162162065261182145e-12
5.338864792903364603e-02,3.278402358567599520e-12,1.157276032574362633e-12
5.340239902923533954e-02,3.182097652123236316e-12,1.123280471199502426e-12
5.341615721489362256e-02,3.252653291435050603e-12,1.148186611876572835e-12
5.342992249148619671e-02,3.283680889582091258e-12,1.159139354022478218e-12
5.344369486449648127e-02,3.256971859871493320e-12,1.149711066534637014e-12
5.345747433941351601e-02,3.227037190021779593e-12,1.139144128077688127e-12
5.347126092173198203e-02,3.289125587135943210e-12,1.161061332258987947e-12
5.348505461695229196e-02,3.305669060141072192e-12,1.166901178229798472e-12
5.349885543058044424e-02,3.249642127138563887e-12,1.147123670879912893e-12
5.351266336812822433e-02,3.178308436927513389e-12,1.121942878235412162e-12
5.352647843511304515e-02,3.297604036381950203e-12,1.164054224842828301e-12
5.354030063705805115e-02,3.286141765143292178e-12,1.160008043095582100e-12
5.355412997949203502e-02,3.270109794471539964e-12,1.154348757448453555e-12
5.356796646794956263e-02,3.119723576165661468e-12,1.101262422386478508e-12
5.358181010797091748e-02,3.269693008071554999e-12,1.154201631849258832e-12
5.359566090510208686e-02,3.204505165567092491e-12,1.131190323445183515e-12
5.360951886489480345e-02,3.287875877950334700e-12,1.160620184916468028e-12
5.362338399290654534e-02,3.424222741697260729e-12,1.208750627819132937e-12
5.363725629470052908e-02,3.188476735057575864e-12,1.125532287475324188e-12
5.365113577584575827e-02,3.383208246434934641e-12,1.194272510991531903e-12
5.366502244191697496e-02,3.312817986773745584e-12,1.169424749331132179e-12
5.367891629849470825e-02,3.222359896358223815e-12,1.137493043414453026e-12
5.369281735116526733e-02,3.279505698556953906e-12,1.157665511590604671e-12
5.370672560552074148e-02,3.263053871868190127e-12,1.151858016769471088e-12
5.372064106715900011e-02,3.288910792691599608e-12,1.160985509820134662e-12
5.373456374168376209e-02,3.180586649444535260e-12,1.122747087253920808e-12
5.374849363470452640e-02,3.270064444314864437e-12,1.154332748843147081e-12
5.376243075183662068e-02,3.254961150283983417e-12,1.149001286050246006e-12
5.377637509870118043e-02,3.088221138308431918e-12,1.090142061822876349e-12
5.379032668092517677e-02,3.359785936740464669e-12,1.186004435669384007e-12
5.380428550414143724e-02,3.281537832735777061e-12,1.158382854955729308e-12
5.381825157398865966e-02,3.137401585675094618e-12,1.107502759743308382e-12
5.383222489611134282e-02,3.481562691040622107e-12,1.228991629937339623e-12
5.384620547615986963e-02,3.249310980674127577e-12,1.147006776177966921e-12
5.386019331979052110e-02,3.182810893012908723e-12,1.123532245233556751e-12
5.387418843266544854e-02,3.171678418853999552e-12,1.119602481855461689e-12
5.388819082045263192e-02,3.192207160184985780e-12,1.126849127545299863e-12
