# E_low [keV], E_up [keV], diff. flux [photons/s/cm^2/keV]
4.295364267648872914e-01,4.325138310350087334e-01,1.610717333068854493e-02
4.325138310350087334e-01,4.355118736855685957e-01,2.005796530953517925e-02
4.355118736855685957e-01,4.385306977749857116e-01,1.662007721694474735e-02
4.385306977749857116e-01,4.415704473533125229e-01,1.584247957217877270e-02
4.415704473533125229e-01,4.446312674691086930e-01,1.608267385334143790e-02
4.446312674691086930e-01,4.477133041763625698e-01,1.509378397531448146e-02
4.477133041763625698e-01,4.508167045414601670e-01,1.677274434603372860e-02
4.508167045414601670e-01,4.539416166502032168e-01,1.525253972456383673e-02
4.539416166502032168e-01,4.570881896148750734e-01,1.505321331308184796e-02
4.570881896148750734e-01,4.602565735813560766e-01,1.554921349977732639e-02
4.602565735813560766e-01,4.634469197362880433e-01,1.432173784625112752e-02
4.634469197362880433e-01,4.666593803142886632e-01,1.438196340287444322e-02
4.666593803142886632e-01,4.698941086052154659e-01,1.473260150803078726e-02
4.698941086052154659e-01,4.731512589614805253e-01,1.409161901076833381e-02
4.731512589614805253e-01,4.764309868054157349e-01,1.427572211034220349e-02
4.764309868054157349e-01,4.797334486366891526e-01,1.506767536895750430e-02
4.797334486366891526e-01,4.830588020397726945e-01,1.627866975035782704e-02
4.830588020397726945e-01,4.864072056914616748e-01,1.473457624956510045e-02
4.864072056914616748e-01,4.897788193684462499e-01,1.352774749141226820e-02
4.897788193684462499e-01,4.931738039549359298e-01,1.353218122986444769e-02
4.931738039549359298e-01,4.965923214503361605e-01,1.654167744293564418e-02
4.965923214503361605e-01,5.000345349769785841e-01,2.535118989233284617e-02
5.000345349769785841e-01,5.035006087879049241e-01,1.299007577592814835e-02
5.035006087879049241e-01,5.069907082747042715e-01,1.318929962793045224e-02
5.069907082747042715e-01,5.105049999754062151e-01,1.378837727005462546e-02
5.105049999754062151e-01,5.140436515824260422e-01,1.318810423197905313e-02
5.140436515824260422e-01,5.176068319505676696e-01,1.248353421737673045e-02
5.176068319505676696e-01,5.211947111050804216e-01,1.359046645379963399e-02
5.211947111050804216e-01,5.248074602497725394e-01,1.364995253264624647e-02
5.248074602497725394e-01,5.284452517751804246e-01,1.461934437807972491e-02
5.284452517751804246e-01,5.321082592667941702e-01,1.229062156307147470e-02
5.321082592667941702e-01,5.357966575133416010e-01,1.171227393569096269e-02
5.357966575133416010e-01,5.395106225151276025e-01,1.273855888403092190e-02
5.395106225151276025e-01,5.432503314924331805e-01,1.120646295182200526e-02
5.432503314924331805e-01,5.470159628939715857e-01,1.139337472152492786e-02
5.470159628939715857e-01,5.508076964054033908e-01,1.096146137823805419e-02
5.508076964054033908e-01,5.546257129579107437e-01,1.136070957958484548e-02
5.546257129579107437e-01,5.584701947368307939e-01,1.370462424584059126e-02
5.584701947368307939e-01,5.623413251903490728e-01,1.219233451335703135e-02
5.623413251903490728e-01,5.662392890382532684e-01,1.088051366049738906e-02
5.662392890382532684e-01,5.701642722807475083e-01,1.099858757568769607e-02
5.701642722807475083e-01,5.741164622073275936e-01,1.142396749081213414e-02
5.741164622073275936e-01,5.780960474057180720e-01,1.096324364777186318e-02
5.780960474057180720e-01,5.821032177708714839e-01,1.018859322360978793e-02
5.821032177708714839e-01,5.861381645140287810e-01,1.096899877961234060e-02
5.861381645140287810e-01,5.902010801718443611e-01,9.647299545704207321e-03
5.902010801718443611e-01,5.942921586155727187e-01,1.109233766608162634e-02
5.942921586155727187e-01,5.984115950603197120e-01,1.024902061986188509e-02
5.984115950603197120e-01,6.025595860743577781e-01,1.013795059460399425e-02
6.025595860743577781e-01,6.067363295885054297e-01,9.540116666512173105e-03
6.067363295885054297e-01,6.109420249055720342e-01,1.129233919837846316e-02
6.109420249055720342e-01,6.151768727098682055e-01,9.179763384193869932e-03
